sig3,sig2,sig1,cohesion,friction
25,25,242.869,25.39,38.51
0,29.65,221.43,32.54,45.89
0,30,101,27.45,40.38
0,30.75,218.06,32.54,45.89
0,34.47,103.3,12.36,38.63
0,35,59.5,48.46,31.23
1,35,62.5,6.66,41.89
5,35,95,18.05,36.01
0,35.1,35.1,6.66,41.89
0,36.77,227.83,32.54,45.89
25,37.5,256.639,25.39,38.51
25,37.5,264.016,25.39,38.51
25,37.5,269.426,25.39,38.51
0,39.3,39.3,34.79,21.32
3,40,75,6.66,41.89
5,40,91.6,6.66,41.89
10,40,94,7.1,35.2
5,40,94,7.1,35.2
7,40,106.4,6.66,41.89
2.3,40,117.4,27.69,31.36
5,40,123.37,36.74,20.96
4.1,40,124.8,27.69,31.36
8,40,131.92,27.61,31.81
10,40,132,18.05,36.01
10,40,139.32,36.74,20.96
6.6,40,141.1,27.69,31.36
10.1,40,161.2,27.69,31.36
0,40,272,46.69,45.94
5,40,301,59.68,48.91
0,40,308.772,47.82,50.98
10,40,328,59.68,48.91
2,40,329.322,47.82,50.98
0,44.48,247.07,32.54,45.89
5,45,109,18.05,36.01
15,45,162,18.05,36.01
25,45,176.68,31.1,26.35
12.5,45,196,23.98,35.42
1,49.3,49.3,6.66,41.89
0,49.8,135.1,49.09,32.74
3,50,74.9,6.66,41.89
20,50,77,7.08,20.13
5,50,89.3,6.66,41.89
0,50,109,27.45,40.38
8,50,109.2,34.79,21.32
7,50,110.7,6.66,41.89
5,50,127.79,36.74,20.96
10,50,130,7.1,35.2
10,50,134.5,24.09,28.69
10,50,148.1,24.8,30.49
10.1,50,172,27.69,31.36
20,50,182.94,27.61,31.81
15,50,183.56,36.74,20.96
20,50,185,18.05,36.01
10,50,185,47.55,25.5
20,50,187,36.14,24.1
20,50,192,7.1,35.2
20,50,195.3,24.8,30.49
10,50,197,27.45,40.38
20,50,211.45,19.55,38.09
0,50,241.1,24.42,64.59
20,50,263,49.09,32.74
25,50,281.23,25.39,38.51
25,50,289.59,25.39,38.51
25,50,292.541,25.39,38.51
10,50,323,56.5,35.3
20,50,348.4,56.5,35.3
20,50,453.23,41.04,48.36
0,50.7,276.6,32.54,45.89
20,51,417,83.55,33.38
20.69,51.73,289.3,32.54,45.89
25,55,83,7.08,20.13
5,55,94,18.05,36.01
10,55,135,18.05,36.01
25,55,177.41,31.1,26.35
6.89,55.16,191.6,12.36,38.63
